102.d0	-0.30162861691010157d0	  0.d0
104.d0	-0.3032991990140433d0	  0.d0
106.d0	-0.3050950142514837d0	  0.d0
108.d0	-0.3070237874064801d0	  0.d0
110.d0	-0.3090937982937711d0	  0.d0
112.d0	-0.311313943480237d0	  0.d0
114.d0	-0.31369380701418254d0	  0.d0
116.d0	-0.31624374177732123d0	  0.d0
118.d0	-0.31897496342823906d0	  0.d0
120.d0	-0.3218996593522704d0	  0.d0
122.d0	-0.3250311155992797d0	  0.d0
124.d0	-0.32838386551591253d0	  0.d0
126.d0	-0.3319738647145266d0	  0.d0
128.d0	-0.33581869823916677d0	  0.d0
130.d0	-0.339937827390093d0	  0.d0
132.d0	-0.3443528857946203d0	  0.d0
134.d0	-0.34908803716701703d0	  0.d0
136.d0	-0.35417041107993447d0	  0.d0
138.d0	-0.3596306384111467d0	  0.d0
140.d0	-0.3655035155880021d0	  0.d0
142.d0	-0.37182883733023164d0	  0.d0
144.d0	-0.378652452852798d0	  0.d0
146.d0	-0.38602762292659565d0	  0.d0
148.d0	-0.394016788877964d0	  0.d0
150.d0	-0.4026939163747489d0	  0.d0
152.d0	-0.4121476585311583d0	  0.d0
154.d0	-0.42248571567003157d0	  0.d0
156.d0	-0.4338409925261992d0	  0.d0
160.d0	-0.4598657109809574d0	  0.0037847844645882557d0
170.d0	-0.5356362808879891d0	  0.0039858468973318845d0
180.d0	-0.6230625216777862d0	  0.003383630236947747d0
190.d0	-0.7239976492730534d0	  0.003566368525972224d0
200.d0	-0.8448890960905702d0	  0.004409090258297118d0
210.d0	-0.9898761978046019d0	  0.00469277496717274d0
220.d0	-1.1690571226684516d0	  0.004373104767382234d0
230.d0	-1.3978260762986703d0	  0.002596643785719142d0
240.d0	-1.7191290282383043d0	  0.0016818418476176504d0
251.d0	-2.540106526411378d0	  -0.2481204006094704d0
261.d0	-2.615337032343241d0	  -0.8734381902469159d0
271.d0	-2.693709642821725d0	  -1.280834211213035d0
281.d0	-2.7556407268511482d0	  -1.6527392685246725d0
291.d0	-2.8127666764048684d0	  -2.021150611740447d0
301.d0	-2.874769089343853d0	  -2.402958933179233d0
311.d0	-2.942297249205105d0	  -2.810736827205291d0
321.d0	-3.0072926836973752d0	  -3.2591589019175395d0
331.d0	-3.0765371081865216d0	  -3.7692954806580627d0
341.d0	-3.162497349473185d0	  -4.391781012207507d0
351.d0	-3.1537663663415545d0	  -5.3600497993176734d0
361.d0	-2.6394254602617346d0	  -6.334837055734742d0
371.d0	-1.8918922497668476d0	  -7.0862391415132695d0
381.d0	-1.0361286866960198d0	  -7.624233027339639d0
391.d0	-0.14171400558748043d0	  -7.97208006804509d0
401.d0	0.7508179214869397d0	  -8.158380341104749d0
411.d0	1.6156431532843454d0	  -8.208381509003907d0
421.d0	2.436410377875225d0	  -8.145392532544534d0
431.d0	3.2037161991907666d0	  -7.988329279357808d0
441.d0	3.912072790048705d0	  -7.755644086510552d0
451.d0	4.56013741113199d0	  -7.461853109035156d0
461.d0	5.1466490216367236d0	  -7.118695640001942d0
471.d0	5.671866422053437d0	  -6.737118033927312d0
481.d0	6.136850061950572d0	  -6.3269591646215115d0
491.d0	6.54291500884932d0	  -5.897275967838044d0
501.d0	6.894853114912947d0	  -5.45649719797212d0
511.d0	7.195986822407462d0	  -5.0112469873017d0
